"","sample","group","silhouette_width","enrich_sig"
"562","TCGA-XK-AAIR","6",0.987,"Sig6"
"563","TCGA-XJ-A9DQ","6",0.987,"Sig6"
"564","TCGA-XJ-A9DK","6",0.987,"Sig6"
"565","TCGA-XJ-A9DI","6",0.987,"Sig6"
"566","TCGA-XJ-A83H","6",0.987,"Sig6"
"567","TCGA-XA-A8JR","6",0.987,"Sig6"
"568","TCGA-X4-A8KS","6",0.987,"Sig6"
"569","TCGA-VP-A87K","6",0.987,"Sig6"
"570","TCGA-VP-A87H","6",0.987,"Sig6"
"571","TCGA-VP-A87E","6",0.987,"Sig6"
"572","TCGA-VP-A87C","6",0.987,"Sig6"
"573","TCGA-VP-A879","6",0.987,"Sig6"
"574","TCGA-VP-A878","6",0.987,"Sig6"
"575","TCGA-VP-A876","6",0.987,"Sig6"
"576","TCGA-VN-A943","6",0.987,"Sig6"
"577","TCGA-VN-A88Q","6",0.987,"Sig6"
"578","TCGA-VN-A88O","6",0.987,"Sig6"
"579","TCGA-VN-A88N","6",0.987,"Sig6"
"580","TCGA-VN-A88M","6",0.987,"Sig6"
"581","TCGA-VN-A88I","6",0.987,"Sig6"
"582","TCGA-V1-A9ZI","6",0.987,"Sig6"
"583","TCGA-V1-A9ZG","6",0.987,"Sig6"
"584","TCGA-V1-A9Z9","6",0.987,"Sig6"
"585","TCGA-V1-A9Z8","6",0.987,"Sig6"
"586","TCGA-V1-A9Z7","6",0.987,"Sig6"
"587","TCGA-V1-A9OY","6",0.987,"Sig6"
"588","TCGA-V1-A9OX","6",0.987,"Sig6"
"589","TCGA-V1-A9OT","6",0.987,"Sig6"
"590","TCGA-V1-A9OQ","6",0.987,"Sig6"
"591","TCGA-V1-A9OH","6",0.987,"Sig6"
"592","TCGA-V1-A9OF","6",0.987,"Sig6"
"593","TCGA-V1-A9OA","6",0.987,"Sig6"
"594","TCGA-V1-A9O9","6",0.987,"Sig6"
"595","TCGA-V1-A9O7","6",0.987,"Sig6"
"596","TCGA-V1-A9O5","6",0.987,"Sig6"
"597","TCGA-V1-A8X3","6",0.987,"Sig6"
"598","TCGA-V1-A8WN","6",0.987,"Sig6"
"599","TCGA-V1-A8WL","6",0.987,"Sig6"
"600","TCGA-V1-A8MU","6",0.987,"Sig6"
"601","TCGA-V1-A8ML","6",0.987,"Sig6"
"602","TCGA-V1-A8MK","6",0.987,"Sig6"
"603","TCGA-V1-A8MJ","6",0.987,"Sig6"
"604","TCGA-V1-A8MG","6",0.987,"Sig6"
"605","TCGA-V1-A8MF","6",0.987,"Sig6"
"606","TCGA-SU-A7E7","6",0.987,"Sig6"
"607","TCGA-QU-A6IP","6",0.987,"Sig6"
"608","TCGA-QU-A6IO","6",0.987,"Sig6"
"609","TCGA-QU-A6IM","6",0.987,"Sig6"
"610","TCGA-MG-AAMC","6",0.987,"Sig6"
"611","TCGA-M7-A723","6",0.987,"Sig6"
"612","TCGA-M7-A722","6",0.987,"Sig6"
"613","TCGA-M7-A721","6",0.987,"Sig6"
"614","TCGA-M7-A720","6",0.987,"Sig6"
"615","TCGA-M7-A71Y","6",0.987,"Sig6"
"616","TCGA-KK-A8IM","6",0.987,"Sig6"
"617","TCGA-KK-A8IL","6",0.987,"Sig6"
"618","TCGA-KK-A8IJ","6",0.987,"Sig6"
"619","TCGA-KK-A8IG","6",0.987,"Sig6"
"620","TCGA-KK-A8I9","6",0.987,"Sig6"
"621","TCGA-KK-A8I8","6",0.987,"Sig6"
"622","TCGA-KK-A8I7","6",0.987,"Sig6"
"623","TCGA-KK-A8I6","6",0.987,"Sig6"
"624","TCGA-KK-A7B3","6",0.987,"Sig6"
"625","TCGA-KK-A7B2","6",0.987,"Sig6"
"626","TCGA-KK-A7B0","6",0.987,"Sig6"
"627","TCGA-KK-A7AY","6",0.987,"Sig6"
"628","TCGA-KK-A7AW","6",0.987,"Sig6"
"629","TCGA-KK-A7AV","6",0.987,"Sig6"
"630","TCGA-KK-A6E7","6",0.987,"Sig6"
"631","TCGA-KK-A6E5","6",0.987,"Sig6"
"632","TCGA-KK-A6E4","6",0.987,"Sig6"
"633","TCGA-KK-A6E3","6",0.987,"Sig6"
"634","TCGA-KK-A6E2","6",0.987,"Sig6"
"635","TCGA-KK-A6DY","6",0.987,"Sig6"
"636","TCGA-KK-A59V","6",0.987,"Sig6"
"637","TCGA-KC-A7FE","6",0.987,"Sig6"
"638","TCGA-KC-A7FD","6",0.987,"Sig6"
"639","TCGA-KC-A7FA","6",0.987,"Sig6"
"640","TCGA-KC-A7F6","6",0.987,"Sig6"
"641","TCGA-KC-A7F5","6",0.987,"Sig6"
"642","TCGA-KC-A7F3","6",0.987,"Sig6"
"643","TCGA-KC-A4BR","6",0.987,"Sig6"
"644","TCGA-KC-A4BO","6",0.987,"Sig6"
"645","TCGA-KC-A4BN","6",0.987,"Sig6"
"646","TCGA-KC-A4BL","6",0.987,"Sig6"
"647","TCGA-J9-A52C","6",0.987,"Sig6"
"648","TCGA-J4-AAU2","6",0.987,"Sig6"
"649","TCGA-J4-AATV","6",0.987,"Sig6"
"650","TCGA-J4-A83N","6",0.987,"Sig6"
"651","TCGA-J4-A83M","6",0.987,"Sig6"
"652","TCGA-J4-A83L","6",0.987,"Sig6"
"653","TCGA-J4-A83K","6",0.987,"Sig6"
"654","TCGA-J4-A6M7","6",0.987,"Sig6"
"655","TCGA-J4-A6G3","6",0.987,"Sig6"
"656","TCGA-J4-A6G1","6",0.987,"Sig6"
"657","TCGA-J4-A67T","6",0.987,"Sig6"
"658","TCGA-J4-A67S","6",0.987,"Sig6"
"659","TCGA-J4-A67R","6",0.987,"Sig6"
"660","TCGA-J4-A67Q","6",0.987,"Sig6"
"661","TCGA-J4-A67O","6",0.987,"Sig6"
"662","TCGA-J4-A67M","6",0.987,"Sig6"
"663","TCGA-J4-A67L","6",0.987,"Sig6"
"664","TCGA-J4-A67K","6",0.987,"Sig6"
"665","TCGA-J4-8200","6",0.987,"Sig6"
"666","TCGA-J4-8198","6",0.987,"Sig6"
"667","TCGA-HI-7170","6",0.987,"Sig6"
"668","TCGA-HI-7169","6",0.987,"Sig6"
"669","TCGA-HC-A8D1","6",0.987,"Sig6"
"670","TCGA-HC-A8D0","6",0.987,"Sig6"
"671","TCGA-HC-A8CY","6",0.987,"Sig6"
"672","TCGA-HC-A76X","6",0.987,"Sig6"
"673","TCGA-HC-A76W","6",0.987,"Sig6"
"674","TCGA-HC-A6HY","6",0.987,"Sig6"
"675","TCGA-HC-A6HX","6",0.987,"Sig6"
"676","TCGA-HC-A6AS","6",0.987,"Sig6"
"677","TCGA-HC-A6AQ","6",0.987,"Sig6"
"678","TCGA-HC-A6AP","6",0.987,"Sig6"
"679","TCGA-HC-A6AO","6",0.987,"Sig6"
"680","TCGA-HC-A6AL","6",0.987,"Sig6"
"681","TCGA-HC-8266","6",0.987,"Sig6"
"682","TCGA-HC-8262","6",0.987,"Sig6"
"683","TCGA-HC-8261","6",0.987,"Sig6"
"684","TCGA-HC-8260","6",0.987,"Sig6"
"685","TCGA-HC-8259","6",0.987,"Sig6"
"686","TCGA-HC-8258","6",0.987,"Sig6"
"687","TCGA-HC-8256","6",0.987,"Sig6"
"688","TCGA-HC-8213","6",0.987,"Sig6"
"689","TCGA-HC-7820","6",0.987,"Sig6"
"690","TCGA-HC-7819","6",0.987,"Sig6"
"691","TCGA-HC-7818","6",0.987,"Sig6"
"692","TCGA-HC-7817","6",0.987,"Sig6"
"693","TCGA-HC-7737","6",0.987,"Sig6"
"694","TCGA-HC-7233","6",0.987,"Sig6"
"695","TCGA-HC-7232","6",0.987,"Sig6"
"696","TCGA-HC-7231","6",0.987,"Sig6"
"697","TCGA-HC-7230","6",0.987,"Sig6"
"698","TCGA-HC-7212","6",0.987,"Sig6"
"699","TCGA-HC-7211","6",0.987,"Sig6"
"700","TCGA-HC-7079","6",0.987,"Sig6"
"701","TCGA-HC-7075","6",0.987,"Sig6"
"702","TCGA-H9-A6BY","6",0.987,"Sig6"
"703","TCGA-H9-A6BX","6",0.987,"Sig6"
"704","TCGA-H9-7775","6",0.987,"Sig6"
"705","TCGA-G9-A9S4","6",0.987,"Sig6"
"706","TCGA-G9-A9S0","6",0.987,"Sig6"
"707","TCGA-G9-7523","6",0.987,"Sig6"
"708","TCGA-G9-7522","6",0.987,"Sig6"
"709","TCGA-G9-7519","6",0.987,"Sig6"
"710","TCGA-G9-7510","6",0.987,"Sig6"
"711","TCGA-G9-7509","6",0.987,"Sig6"
"712","TCGA-G9-6498","6",0.987,"Sig6"
"713","TCGA-G9-6496","6",0.987,"Sig6"
"714","TCGA-G9-6494","6",0.987,"Sig6"
"715","TCGA-G9-6385","6",0.987,"Sig6"
"716","TCGA-G9-6384","6",0.987,"Sig6"
"717","TCGA-G9-6378","6",0.987,"Sig6"
"718","TCGA-G9-6373","6",0.987,"Sig6"
"719","TCGA-G9-6371","6",0.987,"Sig6"
"720","TCGA-G9-6370","6",0.987,"Sig6"
"721","TCGA-G9-6367","6",0.987,"Sig6"
"722","TCGA-G9-6366","6",0.987,"Sig6"
"723","TCGA-G9-6365","6",0.987,"Sig6"
"724","TCGA-G9-6364","6",0.987,"Sig6"
"725","TCGA-G9-6356","6",0.987,"Sig6"
"726","TCGA-G9-6354","6",0.987,"Sig6"
"727","TCGA-G9-6353","6",0.987,"Sig6"
"728","TCGA-G9-6351","6",0.987,"Sig6"
"729","TCGA-G9-6348","6",0.987,"Sig6"
"730","TCGA-G9-6347","6",0.987,"Sig6"
"731","TCGA-G9-6343","6",0.987,"Sig6"
"732","TCGA-G9-6342","6",0.987,"Sig6"
"733","TCGA-G9-6339","6",0.987,"Sig6"
"734","TCGA-G9-6336","6",0.987,"Sig6"
"735","TCGA-G9-6333","6",0.987,"Sig6"
"736","TCGA-G9-6332","6",0.987,"Sig6"
"737","TCGA-G9-6329","6",0.987,"Sig6"
"738","TCGA-FC-A8O0","6",0.987,"Sig6"
"739","TCGA-FC-A6HD","6",0.987,"Sig6"
"740","TCGA-FC-A66V","6",0.987,"Sig6"
"741","TCGA-FC-A5OB","6",0.987,"Sig6"
"742","TCGA-FC-7708","6",0.987,"Sig6"
"743","TCGA-EJ-AB27","6",0.987,"Sig6"
"744","TCGA-EJ-AB20","6",0.987,"Sig6"
"745","TCGA-EJ-A8FU","6",0.987,"Sig6"
"746","TCGA-EJ-A8FS","6",0.987,"Sig6"
"747","TCGA-EJ-A8FP","6",0.987,"Sig6"
"748","TCGA-EJ-A8FO","6",0.987,"Sig6"
"749","TCGA-EJ-A8FN","6",0.987,"Sig6"
"750","TCGA-EJ-A7NM","6",0.987,"Sig6"
"751","TCGA-EJ-A7NK","6",0.987,"Sig6"
"752","TCGA-EJ-A7NJ","6",0.987,"Sig6"
"753","TCGA-EJ-A7NH","6",0.987,"Sig6"
"754","TCGA-EJ-A7NG","6",0.987,"Sig6"
"755","TCGA-EJ-A7NF","6",0.987,"Sig6"
"756","TCGA-EJ-A6RC","6",0.987,"Sig6"
"757","TCGA-EJ-A6RA","6",0.987,"Sig6"
"758","TCGA-EJ-A65M","6",0.987,"Sig6"
"759","TCGA-EJ-A65J","6",0.987,"Sig6"
"760","TCGA-EJ-A65G","6",0.987,"Sig6"
"761","TCGA-EJ-A65E","6",0.987,"Sig6"
"762","TCGA-EJ-A65B","6",0.987,"Sig6"
"763","TCGA-EJ-A46I","6",0.987,"Sig6"
"764","TCGA-EJ-A46H","6",0.987,"Sig6"
"765","TCGA-EJ-A46F","6",0.987,"Sig6"
"766","TCGA-EJ-A46E","6",0.987,"Sig6"
"767","TCGA-EJ-A46D","6",0.987,"Sig6"
"768","TCGA-EJ-A46B","6",0.987,"Sig6"
"769","TCGA-EJ-8474","6",0.987,"Sig6"
"770","TCGA-EJ-8468","6",0.987,"Sig6"
"771","TCGA-EJ-7797","6",0.987,"Sig6"
"772","TCGA-EJ-7794","6",0.987,"Sig6"
"773","TCGA-EJ-7793","6",0.987,"Sig6"
"774","TCGA-EJ-7792","6",0.987,"Sig6"
"775","TCGA-EJ-7791","6",0.987,"Sig6"
"776","TCGA-EJ-7788","6",0.987,"Sig6"
"777","TCGA-EJ-7786","6",0.987,"Sig6"
"778","TCGA-EJ-7785","6",0.987,"Sig6"
"779","TCGA-EJ-7781","6",0.987,"Sig6"
"780","TCGA-EJ-7331","6",0.987,"Sig6"
"781","TCGA-EJ-7330","6",0.987,"Sig6"
"782","TCGA-EJ-7328","6",0.987,"Sig6"
"783","TCGA-EJ-7327","6",0.966,"Sig6"
"784","TCGA-EJ-7321","6",0.97,"Sig6"
"785","TCGA-EJ-7318","6",0.97,"Sig6"
"786","TCGA-EJ-7317","6",0.97,"Sig6"
"787","TCGA-EJ-7314","6",0.97,"Sig6"
"788","TCGA-EJ-7218","6",0.97,"Sig6"
"789","TCGA-EJ-7125","6",0.97,"Sig6"
"790","TCGA-EJ-5532","6",0.97,"Sig6"
"791","TCGA-EJ-5531","6",0.97,"Sig6"
"792","TCGA-EJ-5530","6",0.97,"Sig6"
"793","TCGA-EJ-5527","6",0.949,"Sig6"
"794","TCGA-EJ-5518","6",0.947,"Sig6"
"795","TCGA-EJ-5517","6",0.906,"Sig6"
"796","TCGA-EJ-5515","6",0.881,"Sig6"
"797","TCGA-EJ-5512","6",0.927,"Sig6"
"798","TCGA-EJ-5511","6",0.83,"Sig6"
"799","TCGA-EJ-5510","6",0.883,"Sig6"
"800","TCGA-EJ-5509","6",0.858,"Sig6"
"801","TCGA-EJ-5508","6",0.832,"Sig6"
"802","TCGA-EJ-5506","6",0.804,"Sig6"
"803","TCGA-EJ-5505","6",0.746,"Sig6"
"804","TCGA-EJ-5503","6",0.763,"Sig6"
"805","TCGA-EJ-5502","6",0.629,"Sig6"
"806","TCGA-EJ-5501","6",0.522,"Sig6"
"807","TCGA-EJ-5498","6",0.567,"Sig6"
"808","TCGA-EJ-5497","6",0.565,"Sig6"
"809","TCGA-EJ-5496","6",0.378,"Sig6"
"810","TCGA-EJ-5494","6",0.199,"Sig6"
"811","TCGA-CH-5790","6",0.958,"Sig6"
"812","TCGA-CH-5789","6",0.958,"Sig6"
"813","TCGA-CH-5772","6",0.958,"Sig6"
"814","TCGA-CH-5767","6",0.958,"Sig6"
"815","TCGA-CH-5766","6",0.958,"Sig6"
"816","TCGA-CH-5765","6",0.958,"Sig6"
"817","TCGA-CH-5763","6",0.958,"Sig6"
"818","TCGA-CH-5750","6",0.958,"Sig6"
"819","TCGA-CH-5748","6",0.958,"Sig6"
"820","TCGA-CH-5746","6",0.958,"Sig6"
"821","TCGA-CH-5743","6",0.958,"Sig6"
"822","TCGA-CH-5739","6",0.958,"Sig6"
"823","TCGA-CH-5738","6",0.958,"Sig6"
"824","TCGA-CH-5737","6",0.958,"Sig6"
"825","TCGA-2A-AAYU","6",0.958,"Sig6"
"826","TCGA-2A-AAYO","6",0.958,"Sig6"
"827","TCGA-2A-AAYF","6",0.958,"Sig6"
"828","TCGA-2A-A8VV","6",0.958,"Sig6"
"829","TCGA-2A-A8VT","6",0.958,"Sig6"
"830","TCGA-2A-A8VO","6",0.958,"Sig6"
"831","TCGA-2A-A8VL","6",0.958,"Sig6"
"832","915-6115250","6",0.958,"Sig6"
"833","915-6115119","6",0.958,"Sig6"
"834","915-6115116","6",0.958,"Sig6"
"835","915-5115192","6",0.952,"Sig6"
"836","915-5115076","6",0.939,"Sig6"
"837","915-5115025","6",0.909,"Sig6"
"838","915-1115349","6",0.909,"Sig6"
"839","915-1115153","6",0.906,"Sig6"
"840","915-1115150","6",0.906,"Sig6"
"841","915-1115126","6",0.906,"Sig6"
"842","915-1115085","6",0.791,"Sig6"
"843","909-WCMC21014","6",0.725,"Sig6"
"844","909-WCMC21010","6",0.917,"Sig6"
"845","909-WCMC11040","6",0.917,"Sig6"
"846","909-WCMC10362","6",0.917,"Sig6"
"847","909-WCMC1","6",0.917,"Sig6"
"848","909-22171","6",0.917,"Sig6"
"849","909-21510","6",0.917,"Sig6"
"850","909-20990","6",0.917,"Sig6"
"851","909-20630","6",0.917,"Sig6"
"852","909-12730","6",0.917,"Sig6"
"853","554-8","6",0.917,"Sig6"
"854","554-7","6",0.917,"Sig6"
"855","554-3","6",0.903,"Sig6"
"856","554-2","6",0.904,"Sig6"
"857","554-1","6",0.889,"Sig6"
"858","447-STID0000003127","6",0.889,"Sig6"
"859","447-STID0000003048","6",0.889,"Sig6"
"860","447-STID0000003035","6",0.889,"Sig6"
"861","447-STID0000003034","6",0.904,"Sig6"
"862","447-STID0000003026","6",0.904,"Sig6"
"863","447-STID0000003023","6",0.904,"Sig6"
"864","447-STID0000002916","6",0.886,"Sig6"
"865","447-STID0000002872","6",0.868,"Sig6"
"866","447-STID0000002858","6",0.839,"Sig6"
"867","447-STID0000002762","6",0.844,"Sig6"
"868","447-STID0000002761","6",0.822,"Sig6"
"869","447-STID0000002740","6",0.864,"Sig6"
"870","447-STID0000002661","6",0.774,"Sig6"
"871","447-STID0000001043","6",0.718,"Sig6"
"872","447-STID0000000427","6",0.805,"Sig6"
"873","447-STID0000000099","6",0.849,"Sig6"
"874","447-09-649","6",0.726,"Sig6"
"875","447-09-5245","6",0.657,"Sig6"
"876","447-09-5094","6",0.694,"Sig6"
"877","447-09-3687","6",0.708,"Sig6"
"878","447-09-2517","6",0.658,"Sig6"
"879","447-09-2497","6",0.55,"Sig6"
"880","447-09-1580","6",0.59,"Sig6"
"881","447-09-1372","6",0.115,"Sig6"
"882","447-09-120","6",-0.11,"Sig6"
"883","447-08-590","6",0.378,"Sig6"
"884","447-08-2516","6",0.235,"Sig6"
"885","447-07-718","6",0.442,"Sig6"
"886","447-07-5036","6",0.382,"Sig6"
"887","447-07-360","6",0.559,"Sig6"
"888","447-06-3676","6",0.268,"Sig6"
"889","447-06-2325","6",0.925,"Sig6"
"890","447-06-1999","6",0.925,"Sig6"
"891","447-06-1696","6",0.925,"Sig6"
"892","447-06-1125","6",0.925,"Sig6"
"893","447-05-3829","6",0.925,"Sig6"
"894","447-05-3595","6",0.925,"Sig6"
"895","447-05-3440","6",0.925,"Sig6"
"896","447-05-3436","6",0.925,"Sig6"
"897","447-05-2594","6",0.925,"Sig6"
"898","447-04-639","6",0.925,"Sig6"
"899","447-04-594","6",0.925,"Sig6"
"900","447-04-47","6",0.925,"Sig6"
"901","447-04-3113","6",0.925,"Sig6"
"902","447-04-2740","6",0.925,"Sig6"
"903","447-04-2666","6",0.925,"Sig6"
"904","447-04-2641","6",0.925,"Sig6"
"905","447-04-194","6",0.925,"Sig6"
"906","447-04-1421","6",0.925,"Sig6"
"907","447-04-1367","6",0.925,"Sig6"
"908","447-03-871","6",0.925,"Sig6"
"909","447-03-870","6",0.925,"Sig6"
"910","447-03-3391","6",0.925,"Sig6"
"911","447-03-2620","6",0.925,"Sig6"
"912","447-03-2345","6",0.925,"Sig6"
"913","447-03-22","6",0.925,"Sig6"
"914","447-03-1906","6",0.925,"Sig6"
"915","447-03-1334","6",0.925,"Sig6"
"916","447-03-1026","6",0.925,"Sig6"
"917","447-02-254","6",0.925,"Sig6"
"918","447-02-2480","6",0.925,"Sig6"
"919","447-02-2035","6",0.925,"Sig6"
"920","447-02-1736","6",0.915,"Sig6"
"921","447-02-169","6",0.915,"Sig6"
"922","447-02-1562","6",0.915,"Sig6"
"923","447-02-1082","6",0.915,"Sig6"
"924","447-01-28","6",0.909,"Sig6"
"925","447-01-2554","6",0.906,"Sig6"
"926","447-00-160","6",0.876,"Sig6"
"927","447-00-1165","6",0.89,"Sig6"
"928","141-74","6",0.437,"Sig6"
"929","141-73","6",0.628,"Sig6"
"930","141-65","6",0.936,"Sig6"
"931","141-55","6",0.936,"Sig6"
"932","141-54","6",0.936,"Sig6"
"933","141-51","6",0.936,"Sig6"
"934","141-50","6",0.922,"Sig6"
"935","141-45","6",0.752,"Sig6"
"936","141-44","6",0.0872,"Sig6"
"937","141-42","6",0.978,"Sig6"
"938","141-40","6",0.978,"Sig6"
"939","141-37","6",0.978,"Sig6"
"940","141-32","6",0.978,"Sig6"
"941","141-13","6",0.834,"Sig6"
"942","141-24","6",0.978,"Sig6"
