cytoband	13q14.12	21q22.3	10q23.31	5q11.2	8p21.2	6q15	12p13.1	16q24.1	16q22.2	17p13.1	5q13.2	1p36.22	18q22.3	9p21.3	5q22.3	1p31.3	15q11.2	2q31.1	1q32.3	9p24.2	4q35.1	
												FMO1		SIGMAR1		PHGDH	SNORD115-23		CNIH3	SECISBP2	SNCA	
												FMO2		CREB3		AK5	SNORD115-25		EXOC8	DCAF10	SOD3	
												FMO3		UNC13B		SNORA66	SNORD115-26		LOC149373	ZCCHC6	SPINK2	
												FMO4		SEMA4D		SNORD45B	SNORD115-29		RNF187	MOB3B	SPP1	
												FMO5		ANP32B		SNORD45A	SNORD115-30		SPATA45	CAAP1	SRP72	
												FMOD		SPTLC1		RNVU1-7	SNORD115-31		FAM71A	CNTNAP3	STATH	
												MTOR		SMC2		RNU1-3	SNORD115-32		SDE2	ERMP1	SULT1E1	
												NR5A2		RRAGA		RNU1-2	SNORD115-33		CCDC185	RMI1	TACR3	
												FUCA1		ZBTB6		RNU1-1	SNORD115-34		IBA57	TRPM3	TDO2	
												ACKR1		NEK6		FOXD3	SNORD115-35		SLC41A1	IFT74	TEC	
												IFI6		CCL27		CHIA	SNORD115-36		SYT14	FAM214B	TLL1	
												GABRD		ACTL7B		RNF115	SNORD115-37		LOC284578	GKAP1	TLR1	
												GALE		ACTL7A		ANGPTL3	SNORD115-38		LOC284581	PDCD1LG2	TLR2	
												GALNT2		GADD45G		GPSM2	SNORD115-39		LIN9	ISCA1	TLR3	
												GBA		SPIN1		ALG6	SNORD115-41		RAB7B	DOCK8	TRPC3	
												GBAP1		SEC61B		SLC25A24	SNORD115-44		ZNF678	CEP78	TXK	
												GBP1		SLC35D2		DNTTIP2	SNORD116-28		PRSS38	ZCCHC7	UBE2D3	
												GBP2		CNTRL		TMED5	SNORD116-29		LINC01139	ANKRD20A1	UCHL1	
												GBP3		PSIP1		BOLA1	SNORD115-48		RD3	C9orf64	UCP1	
												GFI1		PTENP1		TNNI3K	SNORD115-24		IRF2BP2	HINT2	UGDH	
												GJA4		AKAP2		SH3GLB1	SNORD115-27		MIA3	C9orf24	UGT2B4	
												GJA5		RPL35		HAO2	SNORD115-28		STUM	PIGO	UGT2B7	
												GJA8		DCTN3		ACP6	SNORD115-45		FAM89A	GLIS3-AS1	UGT2B10	
												GJB3		FRMPD1		HOOK1	SNORD115-47		CAPN8	ARHGEF39	UGT2B15	
												GJB5		ZNF510		SNX7	LOC100128714		COA6	TPD52L3	UGT2B17	
												GCLM		HABP4		GPR89B	LOC100130111		C1orf140	IL33	UGT8	
												GLUL		PTGR1		TRIM33	SRP14-AS1		FAM177B	TMEM261	VEGFC	
												GNAI3		TRIM32		DPH5	ANKRD63		ZNF847P	SLC25A51	WFS1	
												GNAT2		ERP44		GPR88	LOC100131315		MIR194-1	ADAMTSL1	WHSC1	
												GNB1		ZBTB43		TRMT13	HERC2P7		MIR205	LINC00950	NELFA	
												GNG4		SMC5		L1TD1	GOLGA8F		MIR215	UHRF2	ZNF141	
												GNG5		FAM120A		RSBN1	GOLGA8DP		MIR29B2	FAM122A	SLBP	
												SFN		VPS13A		ZNHIT6	POTEB2		MIR29C	TMC1	GLRA3	
												GPR3		ASTN2		LEPROT	WHAMMP1		C1orf186	CARNMT1	ACOX3	
												GPR25		AGTPBP1		GIPC2	LOC100288637		TRIM67	C9orf57	SPARCL1	
												GPX7		BICD2		GDAP2	LOC100289656		H3F3AP4	C9orf85	SMARCA5	
												GRIK3		FKBP15		FAM46C	MIR1233-1		GTF2IP20	C9orf135	SORBS2	
												GSTM1		PHF24		PALMD	MIR1268A		DUSP5P1	TAF1L	PRSS12	
												GSTM2		KIAA0368		FNBP1L	MIR3118-3		SERTAD4-AS1	ARID3C	CPZ	
												GSTM3		TDRD7		ST7L	MIR1233-2		C1orf145	RPP25L	NOP14	
												GSTM4		SLC44A1		PRPF38B	MIR3118-4		IBA57-AS1	C9orf131	FAM193A	
												GSTM5		ANGPTL2		LRRC8D	MIR3118-2		MIR205HG	TRPM6	USO1	
												GTF2B		CDK20		PRMT6	MIR3942		FLVCR1-AS1	RNF38	UNC5C	
												GUCA2A		DDX58		RAVER2	INAFM2		LYPLAL1-AS1	GLIPR2	LAMTOR3	
												GUCA2B		RABGAP1		FGGY	RAD51-AS1		SNRPD2P2	C9orf66	PDE5A	
												GUK1		TMEM2		MCOLN3	DPH6-AS1		MT1HL1	LINC00032	SLC4A4	
												H3F3A		TMEM245		SLC22A15	MIR4509-1		RPS7P5	LINGO2	SAP30	
												HCRTR1		FRRS1L		RNPC3	MIR4509-2		SNORA14B	NXNL2	INPP4B	
												HDAC1		SLC24A2		LRRC40	MIR4508		SNORA36B	RASEF	PROM1	
												HDGF		CIZ1		DEPDC1	MIR4510		SNORA16B	TTC39B	HERC3	
												CFH		DNAJB5		LRIF1	MIR4715		TGFB2-AS1	FAM201A	PHOX2B	
												CFHR1		DCAF12		CTTNBP2NL	TMCO5B		FAM72A	TRMT10B	SNORD73A	
												CFHR2		WHRN		FAM212B	MIR5701-2		LINC01348	SAXO1	STBD1	
												ZBTB48		NIPSNAP3A		GNG12	MIR5701-1		C1orf132	FREM1	CDKL2	
												MR1		GAPVD1		KYAT3	SNORD116-30		BTNL10	KIAA2026	PAPSS1	
												HLX		RALGAPA1P1		TMEM167B	SNORD115-46		LOC100130331	LINC00961	LDB2	
												HMGN2		PHF19		OLFML3	LOC100996255		RPL21P28	ATP8B5P	LRAT	
												HMGCL		ZNF658		LINC00869	POTEB		RNA5S1	PRUNE2	AIMP1	
												HMGCS2		SPATA31A7		TMIGD3	GOLGA8R		RNA5S2	KCNV2	NDST3	
												HPCA		FBXW2		AMIGO1	LOC101927079		RNA5S3	TMEM252	SLIT2	
												HSD3B1		SPAG8		ODF2L	LOC101928042		RNA5S4	GLIS3	RAB28	
												HSD3B2		OR1J4		KIAA1324	LOC101928134		RNA5S5	C9orf72	TMPRSS11D	
												HSD11B1		OR2K2		LRRC7	LOC101928174		RNA5S6	CCDC171	ABCG2	
												HSPA6		FBXO10		CACHD1	LOC101928227		RNA5S7	FAM219A	HAND2	
												HSPA7		LHX6		MIER1	PWRN3		RNA5S9	CCDC107	ADAMTS3	
												IGSF3		OSTF1		PTBP2	GABRG3-AS1		RNA5S10	CBWD5	CLOCK	
												HSPG2		OR1L3		DNASE2B	MIR8063		RNA5S11	ANKRD18A	CEP135	
												HTR1D		OR1L1		ADGRL4	POTEB3		RNA5S12	MAMDC2	RAPGEF2	
												HTR6		OR1J2		MFSD14A	LOC102725022		RNA5S13	FRMD3	KIAA0232	
												ID3		SNORA65		RBM15	PWRN4		RNA5S14	FAM205A	MFAP3L	
												IFI16		DNAI1		DCLRE1B	LOC105370757		RNA5S15	C9orf47	SEC24D	
												CYR61		ST6GALNAC4		WDR77	LOC105370941		RNA5S16	SPATA31E1	G3BP2	
												IL6R		INVS		DLEU2L	LOC105370943		RNA5S17	LOC286238	WDR1	
												IL10		SIT1		EPS8L3	BUB1B-PAK6		LOC100287497	LOC286297	HS3ST1	
												IL12RB2		SPINK4		VTCN1			LINC00582	TUSC1	FGFBP1	
												TNFRSF9		TOR2A		TTLL7			LGALS8-AS1	LURAP1L	HNRNPDL	
												ILF2		PSAT1		WDR78			MIR1182	MIR4290HG	TSPAN5	
												INPP5B		UBQLN1		RPAP2			MIR1537	FOXD4L3	ENAM	
												INSRR		SLC2A8		DENND2D			MIR548F3	IFNE	LINC01587	
												IPP		ST6GALNAC6		WLS			MIR664A	ZDHHC21	FAM13A	
												IRF6		STOML2		RPF1			LINC00184	ACER2	MFSD10	
												ITPKB		DEC1		SIKE1			TSNAX-DISC1	LINC01501	SPRY1	
												IVL		PCA3		TRIM45			MIR320B2	SPATA31D5P	MAEA	
												JAK1		EXOSC3		ANKRD13C			MIR3123	KIF24	TLR6	
												JUN		ABHD17B		VANGL1			MIR4260	IGFBPL1	PCGF3	
												KCNA2		LOC51145		ST6GALNAC5			MIR3122	FOXD4L4	ANAPC10	
												KCNA3		CDKN2A-AS1		GPR61			MIR3620	ENHO	ATP8A1	
												KCNA10		UBAP1		TM2D1			PROX1-AS1	AQP7P1	SPON2	
												KCNC4		GOLM1		REG4			TAF1A-AS1	PTAR1	PGRMC2	
												KCND3		CHMP5		SYDE2			ITPKB-IT1	FGF7P6	SEC24B	
												KCNH1		TRMO		ZNF644			LINC01354	LOC389705	TACC3	
												KCNJ9		RAB14		LRRC8C			LINC01132	FAM205BP	SLC30A9	
												KCNJ10		TMEM8B		SGIP1			CHRM3-AS2	SPATA31A6	CXCL13	
												KCNK1		SHC3		POLR3GL			MIR4428	GLIDR	SLC34A2	
												KCNK2		POLE3		PROK1			MIR4753	SPATA31D4	MAB21L2	
												KCNN3		NANS		EFCAB7			MIR4454	SPATA31D3	PAICS	
												KISS1		MRPL50		PSRC1			MIR4666A	SPATA31D1	MXD4	
												LAD1		RC3H2		ATP1A1-AS1			MIR4671	LOC389765	PDLIM5	
												LAMB3		EPB41L4B		ATG4C			MIR4427	C9orf153	RRH	
												LAMC1		EQTN		STRIP1			MIR5096	FAM221B	CORIN	
												LAMC2		NUTM2F		DOCK7			MIR4742	OR13J1	UGT2B11	
												STMN1		DIRAS2		ZNF697			MIR5008	CTSL3P	PLK4	
												LBR		BNC2		NEXN			LINC00538	LOC392364	PTTG2	
												LCK		HAUS6		DNAJA1P5			HLX-AS1	VLDLR-AS1	CPLX1	
												LEPR		ASPN		HENMT1			CHRM3-AS1	FLJ41200	HPSE	
												LGALS8		BSPRY		GNRHR2			LINC00210	HACD4	SLC26A1	
												LMNA		APTX		GBP4			LOC101927143	LINC01242	NMU	
												LMX1A		CNTLN		GBP5			LOC101927164	TMEM215	SMR3B	
												LOR		TEX10		SSX2IP			LOC101927478	TOMM5	NPFFR2	
												LY9		PLPPR1		OLFM3			LOC101927532	FAM74A1	PPARGC1A	
												TACSTD2		FOCAD		WDR63			LOC101927604	FAM74A4	PPBPP2	
												MAGOH		UBE2R2		MAB21L3			LOC101927683	ZNF658B	UGT2A1	
												MARK1		FAM206A		SLC44A3			LOC101927765	C9orf170	CCNI	
												MATN1		NMRK1		ATXN7L2			LOC101927787	PLPP6	LIAS	
												MCL1		STX17		C1orf194			LOC101927851	LOC403323	ADAM29	
												CD46		NOL8		ASB17			LOC101929541	MIR101-2	PRDM5	
												SMCP		C9orf40		TYW3			LOC101929565	MIR204	LSM6	
												MDM4		TMEM38B		ERICH3			LOC101929631	MIR31	NUDT6	
												MEF2D		SMU1		LRRIQ3			LINC01352	MIR7-1	ANXA10	
												MFAP2		RFK		LRRC39			LOC101929771	IDNK	KLHL2	
												MGST3		NIPSNAP3B		C1orf87			LOC101930114	CNTFR-AS1	SCRG1	
												MNDA		STRBP		LIX1L			MIR6742	LOC440173	HSPA4L	
												MOV10		TBC1D2		HSD3BP4			MIR7641-2	LOC440896	SEC31A	
												MPL		HEMGN		DRAM2			MIR6769B	LINC01239	RUFY3	
												MPZ		KIF27		PIFO			MIR6741	SUGT1P1	MMRN1	
												MSH4		DENND4C		C1orf162			LOC102723727	ANKRD20A3	LIMCH1	
												MTF1		CDK5RAP2		SYT6			LOC102723833	ANKRD20A2	WDFY3	
												MTHFR		UBAP2		SAMD13			LOC102723886	AQP7P3	PALLD	
												MTR		KLHL9		C1orf52			LOC103021295	SPATA31C1	DCUN1D4	
												MTX1		BARX1		TMEM56			LOC103021296	ANKRD18B	TBC1D9	
												MUC1		RNF20		NBPF4			TGFB2-OT1	PTGER4P2-CDK2AP2P2	METAP1	
												MUTYH		OR2S2		UBE2U			SPATA17-AS1	FOXB2	TBC1D1	
												MYBPH		IFNK		HFE2			DISC1-IT1	CBWD3	SEL1L3	
												MYCL		GSN-AS1		ANKRD35			LOC105372897	LOC494127	KIAA0922	
												MYOC		KIAA1161		SLC30A7			LOC105748977	C9orf135-AS1	PDS5A	
												MYOG		LOC100499484-C9ORF174		NBPF12				MIR31HG	ADGRL3	
												PPP1R12B		ZBTB26		MGC27382				LOC554249	TRIM2	
												NASP		GBA2		IL23R				PGM5-AS1	MAN2B2	
												NBL1		DENND1A		CHIAP2				MIR491	ANP32C	
												NCF2		SLC46A2		DENND2C				PGM5P2	SLC7A11	
												NDUFS2		LINC00474		GBP6				FRG1JP	NOCT	
												NDUFS5		INIP		PLPPR5				LOC642929	PARM1	
												NEK2		ZNF462		FNDC7				LINC01189	FAM149A	
												NFIA		NAA35		KANK4				CNTNAP3P2	RCHY1	
												NFYC		DMRTA1		SASS6				CBWD6	ANKRD17	
												NGF		SLC28A3		HFM1				FLJ43315	STAP1	
												NHLH1		SUSD1		UBL4B				FAM138A	FBXL5	
												NHLH2		POLR1E		NUDT4P2				SPATA31C2	FBXO8	
												NID1		IPPK		PDIA3P1				HRCT1	CHIC2	
												NIT1		FAM129B		ALG14				SPATA31A1	SMR3A	
												NOTCH2		LRRC19		LINC00466				RPSAP9	NSG1	
												NPPA		NOL6		NBPF11				FOXD4L6	PPA2	
												NPPB		WNK2		NUDT17				FOXD4L5	DAPP1	
												NPR1		SECISBP2		TCTEX1D1				FGF7P3	DKK2	
												NRAS		C9orf16		SPAG17				FAM138C	FAM184B	
												NRDC		MAPKAP1		HIPK1				SCARNA8	INTU	
												YBX1		DCAF10		SLC44A5				MSMP	NAAA	
												NTRK1		ZCCHC6		AKR7A2P1				SPATA31A3	GPR78	
												ROR1		GALNT12		EPHX4				SPATA31A5	COQ2	
												DDR2		MOB3B		AKNAD1				FAM74A3	ARFIP1	
												NVL		CAAP1		MCOLN2				CNTNAP3B	SULT1B1	
												OPRD1		CNTNAP3		COL24A1				LOC728673	PDLIM3	
												ORC1		SVEP1		ST6GALNAC3				ANKRD20A4	HPGDS	
												OVGP1		RMI1		NEGR1				LOC730098	ZNF330	
												PAFAH2		TRPM3		MAGI3				FAM166B	TMPRSS11E	
												PRDX1		PTGES2		FAM19A3				CDKN2B-AS1	ZCCHC4	
												PAX7		IFT74		NBPF15				SNORD121A	ANAPC4	
												PBX1		FAM214B		FAM102B				LINC00583	SPOCK3	
												CDK18		GKAP1		SYPL2				MIR876	MRPS18C	
												PDC		AKNA		CYB561D1				MIR873	LAP3	
												PDE4B		MIR600HG		ANKRD34A				UNQ6494	KLHL5	
												PDZK1		ISCA1		ZNF326				TOPORS-AS1	SEPSECS	
												PEX10		ARPC5L		BTBD8				C9orf92	COPS4	
												PEX14		HDHD3		HIST2H2AB				IZUMO3	AADAT	
												PFDN2		ZNF484		PPM1J				FAM205C	HSD17B11	
												PFKFB2		FSD1L		HIST2H3A				FAM27E3	LEF1	
												PGD		CEP78		HIST2H2BC				LOC100132249	HERC5	
												PGM1		ZCCHC7		HIST2H2BA				FRG1HP	KLF3	
												PIGC		ANKRD20A1		LINC01140				GXYLT1P3	FAM198B	
												PIGR		GARNL3		CCDC18				FAM27C	PLAC8	
												PIK3C2B		HSDL2		MYBPHL				FAM95B1	LARP7	
												PIK3CD		C9orf64		BARHL2				FAM27B	EMCN	
												PI4KB		CARD19		NBPF7				VPS13A-AS1	MYOZ2	
												PIN1P1		MFSD14C		MIGA1				WASH1	ASIC5	
												PKLR		TMEM246		NEXN-AS1				DDX11L5	GALNT7	
												PKP1		MFSD14B		GBP7				FAM27E2	NUDT9	
												PLA2G2A		HINT2		C1orf146				FAM95C	NUP54	
												PLA2G4A		C9orf24		FAM69A				MIR1299	STX18	
												PLA2G5		PIGO		SLC6A17				MIR1302-2	FGFRL1	
												PLOD1		ARHGEF39		C1orf137				MIR1302-9	CLDN22	
												PLXNA2		C9orf3		NOTCH2NL				MIR1302-10	CYTL1	
												EXOSC10		COL27A1		LINC01138				MIR3152	GAR1	
												PRRX1		ALG2		LOC388692				MIR1302-11	SH3TC1	
												POU2F1		FGD3		UOX				MIR3153	UGT2B28	
												POU3F1		MVB12B		FRRS1				MIR4290	RBM47	
												PPOX		LRSAM1		C1orf141				MIR4289	PCDH18	
												PPP1R8		MSANTD3		GBP1P1				LOC100506422	USP53	
												PPP2R5A		SLC25A51		FLJ27354				EBLN3P	DKFZP434I0714	
												PPT1		MRRF		MIR137HG				GAS1RR	OTUD4	
												PRCC		RBM18		NBPF9				MAMDC2-AS1	NKX1-1	
												PRELP		ADAMTSL1		MIR101-1				SMC5-AS1	TET2	
												PRKAA2		LINC00950		MIR137				LINC01504	DCHS2	
												PRKAB2		KIF12		MIR186				MIR4477A	ARHGEF38	
												PRKACB		PALM2		MIR197				MIR4667	PIGG	
												PKN2		SLC25A25		MGC34796				MIR4473	DCAF16	
												PRKCZ		WDR31		LHX8				MIR4540	OCIAD1	
												PROX1		ZNF618		LINC01555				MIR4665	COMMD8	
												PSEN2		FAM122A		FLJ31662				MIR4475	ODAM	
												PSMA5		GRIN3A		LOC440600				MIR4474	HPF1	
												PSMB2		TMC1		LOC440602				MIR4476	HERC6	
												PSMB4		RNF183		BCL2L15				BANCR	MCUB	
												PSMD4		CARNMT1		NUDT4P1				FAM74A7	MARCH1	
												PTAFR		C9orf57		HIST2H2BF				PTENP1-AS	BANK1	
												PTGER3		C9orf85		PGCP1				SNORD121B	LARP1B	
												PTGFR		C9orf135		GEMIN8P4				DNAJB5-AS1	SDAD1	
												PTGFRN		PTRH1		RBMXL1				LOC101926948	TMEM33	
												PTGS2		PIP5KL1		FAM72C				LINC01506	LGI2	
												QSOX1		TAF1L		SPATA42				LOC101927069	BBS7	
												PTPN7		PTPDC1		CYMP				LINC01474	UBA6	
												PTPN14		ANKRD19P		LOC643355				LOC101927358	NEIL3	
												PTPRC		ARID3C		LOC643441				C9orf41-AS1	PGM2	
												PTPRF		RPP25L		LINC00622				GNA14-AS1	C4orf19	
												PEX19		C9orf131		PPIAL4G				LOC101927450	FBXW7	
												ABCD3		OR13C5		FAM231D				LINC01507	TBC1D19	
												RAB3B		OR13C8		NBPF13P				LOC101927502	PI4K2B	
												RAB4A		OR13C3		NFIA-AS1				LOC101927575	TMEM144	
												RAB13		OR13C4		PPIAL4D				LOC101927623	TMA16	
												RABGGTB		OR13F1		LOC645166				LOC101927827	UFSP2	
												RABIF		OR1L8		LOC646626				LOC101927847	BLOC1S4	
												RAP1A		OR1N2		SETSIP				LINC01508	ZGRF1	
												RAP1GAP		OR1N1		EMBP1				LOC101928195	STK32B	
												RBBP4		TRPM6		SRGAP2B				LOC101928381	AP1AR	
												RBBP5		RNF38		ACTG1P4				PGM5P3-AS1	MAML3	
												REN		GLIPR2		NBPF6				LINC01231	CHRNA9	
												RFX5		DAB2IP		SRGAP2C				RFX3-AS1	BMP2K	
												RGS1		LINC00032		PPIAL4A				CDC37L1-AS1	DDX60	
												RGS2		LINGO2		GPR89A				PTPRD-AS1	CDKN2AIP	
												RGS4		NXNL2		PPIAL4C				PTPRD-AS2	LYAR	
												RGS13		OR1Q1		HIST2H3D				LURAP1L-AS1	TENM3	
												RGS16		TTLL11		FAM72B				FOCAD-AS1	N4BP2	
												RHCE		RASEF		SCARNA2				LOC101929563	TMEM184C	
												RHD		TTC39B		SNORD45C				LINC01241	SEPT11	
												RIT1		FAM201A		MIR553				LOC101929583	EXOC1	
												RLF		TRMT10B		FAM72D				IFT74-AS1	LRP2BP	
												RNASEL		TTC16		NBPF8				LINC01243	TMEM165	
												RNF2		MIRLET7DHG		LINC00623				B4GALT1-AS1	PDGFC	
												RNPEP		FAM120AOS		LOC728989				LINC01251	SLC2A9	
												RNU1-4		SAXO1		HSD52				MIR6851	FSTL5	
												SNORA73A		LINC00475		LOC729930				MIR6852	BDH2	
												SNORD21		FREM1		LOC729970				MIR6853	SMARCAD1	
												RORC		LINC00961		LOC729987				LOC102723709	MEPE	
												RPA2		ATP8B5P		PPIAL4E				LOC102724156	STOX2	
												RPE65		ZNF483		PFN1P2				LOC102724238	PRDM8	
												RPL5		C9orf84		PDZK1P1				LOC102724580	UTP3	
												RPL11		KIAA1958		MIR942				LOC102725126	INTS12	
												RPL22		TSTD2		MIR760				LINC01230	ANKRD50	
												RPS6KA1		ZNF782		LINC01349				LINC01410	ATP10D	
												RPS8		LOC158434		LOC100129046				RORB-AS1	DANCR	
												RPS27		LOC158435		LOC100129138				LOC103908605	KIAA1211	
												RSC1A1		PRUNE2		LINC01160				LOC105375972	RNF150	
												RXRG		OLFML2A		LOC100129620				LOC105376064	NWD2	
												RYR2		TMEM252		CCDC18-AS1				LOC105376114	TBC1D14	
												S100A1		ZNF883		LOC100132057				LOC105379450	SORCS2	
												SORT1		ZNF169		NBPF10				XLOC_007697	CC2D2A	
												S100A2		AAED1		FCGR1CP				SNORD137	KLHL8	
												S100A3		ZNF367		ZRANB2-AS1					PCDH10	
												S100A4		TMEM268		AP4B1-AS1					CFAP97	
												S100A5		C9orf72		NBPF20					FNIP2	
												S100A6		CCDC171		HYDIN2					SLAIN2	
												S100A7		NAIF1		GNG12-AS1					SHROOM3	
												S100A8		FAM219A		LINC00624					STIM2	
												S100A9		CCDC107		MIR320B1					SH3RF1	
												S100A10		ANKS6		MIR548N					UVSSA	
												S100A11		SUSD3		MIR1262					METTL14	
												S100A12		CBWD5		MIR3117					WDR19	
												S100A13		CDC26		MIR3116-1					ZFYVE28	
												SARS		PSMD5-AS1		MIR3116-2					GBA3	
												SCNN1D		ANKRD18A		MIR4256					ENOPH1	
												SCP2		MORN5		MIR3671					OPRPN	
												XCL1		OR1L4		SPATA1					OSTC	
												SDHB		TXNDC8		LINC01364					IL21	
												SDHC		MAMDC2		LOC100505824					RXFP1	
												SELE		FRMD3		RTCA-AS1					AFAP1	
												SELL		C9orf43		FAM212B-AS1					GUF1	
												SELP		FAM205A		SLC16A1-AS1					SPCS3	
												SFPQ		CRB2		FPGT-TNNI3K					SCOC	
												SRSF4		SCAI		TMEM56-RWDD3					TRAPPC11	
												SHC1		CFAP157		MIR378G					NEUROG2	
												ST3GAL3		C9orf47		MIR4794					SLC39A8	
												STIL		SPATA31E1		MIR548AC					NCAPG	
												SKI		LOC286238		MIR4711					HHIP	
												SLAMF1		LOC286297		MIR2682					NDST4	
												SLC1A7		TUSC1		MIR4423					ETNPPL	
												SLC2A1		FAM225A		MIR5087					USP46	
												SLC2A5		LURAP1L		NEGR1-IT1					MRPL1	
												SLC6A9		LOC286359		ZRANB2-AS2					RASL11B	
												SLC9A1		OR13C9		SRGAP2-AS1					ELOVL6	
												SLC16A1		OR13D1		DPYD-AS1					TNIP2	
												SNRPE		MIR4290HG		DPYD-AS2					HAUS3	
												SOAT1		FOXD4L3		VAV3-AS1					NDNF	
												UAP1		IFNE		KCNC4-AS1					FAT4	
												SPRR1A		ZDHHC21		KCND3-AS1					ARSJ	
												SPRR1B		ACER2		HAO2-IT1					SRD5A3	
												SPRR2A		GAS2L1P2		KCND3-IT1					ARHGAP10	
												SPRR2B		LOC340512		LOC100996251					KLF3-AS1	
												SPRR2C		LINC01501		LOC100996263					CENPU	
												SPRR2D		SPATA31D5P		FOXD3-AS1					THAP9	
												SPRR2E		OR1J1		NFIA-AS2					NSUN7	
												SPRR2F		OR1B1		LOC100996630					UGT2A3	
												SPRR2G		KIF24		LOC100996635					HAND2-AS1	
												SPRR3		IGFBPL1		LINC01356					GSTCD	
												SPTA1		MURC		SRGAP2D					MAP9	
												SRM		FOXD4L4		LAMTOR5-AS1					TNIP3	
												SRP9		ENHO		RNVU1-8					JADE1	
												TROVE2		AQP7P1		LOC101926944					ABCA11P	
												SSR2		PTAR1		LOC101926964					SCD5	
												AURKAPS1		ERCC6L2		ROR1-AS1					DNAJB14	
												STXBP3		FGF7P6		LINC01359					TMEM156	
												XCL2		LOC389705		LOC101927139					WWC2	
												SYCP1		FAM205BP		DEPDC1-AS1					FRAS1	
												TAF12		SPATA31A6		LOC101927244					NAA15	
												TAF13		GLIDR		LINC01360					CWH43	
												TAL1		SPATA31D4		ERICH3-AS1					ABHD18	
												TARBP1		SPATA31D3		LOC101927342					ALPK1	
												CNTN2		SPATA31D1		LOC101927412					GRPEL1	
												TBCE		LOC389765		LOC101927429					MED28	
												TBX15		C9orf153		LOC101927434					CXXC4	
												TCEA3		PTGES2-AS1		LOC101927468					KCNIP4	
												TCEB3		FAM221B		LINC01361					CEP44	
												VPS72		OR13J1		LOC101927560					SETD7	
												TGFB2		CTSL3P		LOC101927587					PLA2G12A	
												LEFTY2		LOC392364		LOC101927844					FIP1L1	
												TGFBR3		OR13C2		PKN2-AS1					TLR10	
												THBS3		OR1L6		LINC01057					SLC25A31	
												TCHH		OR5C1		LOC101928098					RAB33B	
												TIE1		OR1K1		LOC101928118					ARHGAP24	
												TLR5		FAM102A		LOC101928241					FGFBP2	
												GPR137B		FLJ41200		LOC101928270					SNX25	
												TNFRSF1B		HACD4		LOC101928370					TTC29	
												TNNI1		LINC01242		LOC101928436					MND1	
												TNNT2		TMEM215		LOC101928476					SLC10A7	
												TNR		TOMM5		LOC101928718					TKTL2	
												TOP1P1		FAM74A1		HIPK1-AS1					C4orf17	
												TP53BP2		FAM74A4		LOC101928977					QRFPR	
												TP73		ZNF658B		LOC101928979					FAM175A	
												TPM3		C9orf170		LOC101928995					KIAA1109	
												TPR		CENPP		LOC101929023					MFSD7	
												TRAF5		C9orf152		LOC101929099					NOA1	
												CCT3		SNX30		LOC101929147					TMEM175	
												TSHB		WDR38		NBPF25P					ABLIM2	
												TSNAX		LOC403323		LOC101929798					HOPX	
												TTC4		ZBTB34		RNVU1-4					COL25A1	
												TUFT1		MIRLET7A1		RNVU1-14					USP38	
												TNFSF4		MIRLET7D		RNVU1-15					LNX1	
												TNFRSF4		MIRLET7F1		RNVU1-20					MGARP	
												UCK2		MIR147A		RNVU1-17					AFAP1-AS1	
												UQCRH		MIR181A2		RNVU1-3					NAA11	
												UROD		MIR181B2		RNVU1-1					GPAT3	
												USF1		MIR199B		RNVU1-6					CBR4	
												USP1		MIR204		RNVU1-19					PIGY	
												USH2A		MIR23B		MIR6068					TMEM128	
												VCAM1		MIR24-1		MIR7852					CABS1	
												WNT2B		MIR27B		MIR7856					ZNF518B	
												WNT9A		MIR31		MIR6736					FHDC1	
												ZSCAN20		MIR32		MIR6077					FLJ20021	
												ZBTB17		MIR7-1		MIR7156					LOC90768	
												SLC30A1		LINC00587		LOC102606465					PRMT9	
												SLC30A2		IDNK		LOC102723661					CCDC149	
												LUZP1		CNTFR-AS1		CH17-408M7.1					DDX60L	
												PRDM2		LOC440173		LOC103091866					YTHDC1	
												DNALI1		LOC440896		LINC01461					CTBP1-AS2	
												LRP8		LINC01239		LINC01397					TMEM129	
												LAPTM5		SUGT1P1		LINC01307					NAF1	
												BSND		ANKRD20A3		LINC01525					MOB1B	
												CSDE1		ANKRD20A2		WARS2-IT1					TIFA	
												EVI5		AQP7P3		LOC105378828					FAM114A1	
												DAP3		SPATA31C1		LOC105378853					TRMT10A	
												NPHS2		LOC441454		LOC105378933					MRFAP1	
												BTG2		LOC441455							LOC93622	
												PTP4A2		NUTM2G							TADA2B	
												ARID1A		ANKRD18B							TBCK	
												HIST3H3		STX17-AS1							HTRA3	
												CDC7		PTGER4P2-CDK2AP2P2							HELQ	
												HIST2H2AA3		FOXB2							CYP2U1	
												HIST2H2AC		CBWD3							C1QTNF7	
												HIST2H2BE		C9orf129							MRFAP1L1	
												HIST2H4A		PALM2-AKAP2							DDIT4L	
												PIP5K1A		PAPPA-AS1							CLNK	
												TAGLN2		LOC494127							WDR17	
												BCAR3		C9orf135-AS1							ARAP2	
												ANXA9		DNAJC25							PCAT4	
												SNHG3		DNAJC25-GNG10							ANTXR2	
												NR0B2		MIR31HG							OCIAD2	
												RAD54L		LOC554249							SCLT1	
												GNPAT		PGM5-AS1							C4orf33	
												DYRK3		MIR491							TMEM155	
												TTF2		PGM5P2							PABPC4L	
												CDC42BPA		MIR455							ADAD1	
												RGS5		NRON							ZFP42	
